input_category,output_category
"Fleet and Vehicle Maintenance|Air, Mechanic, and Hydraulic Floor Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Automotive Lifting Tool Accessories","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Automotive Loading Ramps","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Bottle Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Engine Stands","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Hydraulic Axle Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Hydraulic Crane Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Motorcycle Lifts and Plow Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Transmission Jacks","Automotive Lifting Tools"
"Fleet and Vehicle Maintenance|Vehicle Stands","Automotive Lifting Tools"
"Paint, Equipment and Supplies|Auto Body Paints and Primers","Automotive Paints and Coatings"
"Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Auto Body Paints & Primers","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Automotive Touch Up Paints","Automotive Paints and Coatings"
"Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Automotive Topcoats","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Engine Enamels","Automotive Paints and Coatings"
"Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Parts Coatings","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Parts Coatings","Automotive Paints and Coatings"
"Janitorial & Facility|Paints  Equipment & Supplies|Automotive Paints & Coatings|Rust Treatments & Undercoatings","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Rust Treatments and Undercoatings","Automotive Paints and Coatings"
"Paint, Equipment and Supplies|Truck Bed Coatings","Automotive Paints and Coatings"
"Lighting|Ballasts|Ballasts & Drivers|LED Drivers",Ballasts
"Lighting|Ballast Accessories",Ballasts
"Lighting|CFL Ballasts",Ballasts
"Lighting|Fluorescent Ballasts",Ballasts
"Lighting|Fluorescent Lamp Starters",Ballasts
"Lighting|HID Ballast Ignitors",Ballasts
"Lighting|HID Ballasts",Ballasts
"Lighting|HID Capacitors",Ballasts
"Lighting|LED Drivers",Ballasts
"Lighting|Sign Ballasts",Ballasts
"Electronics & Batteries|Batteries & Flashlights|Batteries|Lithium Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Nickel Metal Hydride Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Product Specific Battery Packs","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Rechargeable Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Standard Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Batteries|Zinc Coal Batteries","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Battery Accessories|Battery Chargers","Batteries & Battery Chargers"
"Electronics & Batteries|Batteries & Flashlights|Battery Accessories|Battery Holders & Mounts","Batteries & Battery Chargers"
"Electronics, Appliances, and Batteries|Battery Storage & Organizers","Batteries & Battery Chargers"
"Electronics, Appliances, and Batteries|Rechargeable Batteries & Chargers","Batteries & Battery Chargers"
"Plumbing|Plumbing Valves|Backflow Preventer Accessories","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Backflow Preventer Repair Kits","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Backflow Preventer Test Kits","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Backflow Preventers","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Backwater Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Check Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Flow Control Check Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Foot Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Sanitary Check Valves","Check Valves and Backflow Preventers"
"Plumbing|Plumbing Valves|Vacuum Breakers","Check Valves and Backflow Preventers"
